Entity Type,License Number,Sidewalk Cafe Type,Lic Area Sq Ft,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Camis Phone Number,Location 1
SIDEWALK CAFE,882869,Unenclosed,98,LIRA OF NEW YORK INC,LUKE'S BAR & GRILL,3 AVENUE,1394 3 AVENUE,,10075,2122497070,"1394 3 AVENUE
NEW YORK, NY 10075
(40.77457086153879, -73.9570665518292)"
SIDEWALK CAFE,883054,Unenclosed,357,CABRINI PARTNERS INC,CORNER CAFE & BAKERY,JOHNSON AVENUE,3552 JOHNSON AVENUE,,10463,7186012861,"3552 JOHNSON AVENUE
BRONX, NY 10463
(40.886180449674036, -73.9097849476806)"
SIDEWALK CAFE,883095,Unenclosed,302,83RD AMSTERDAM RESTAURANT CORP,HI LIFE BAR & GRILL,AMSTERDAM AVENUE,477 AMSTERDAM AVENUE,,10024,2127877199,"477 AMSTERDAM AVENUE
NEW YORK, NY 10024
(40.78560554283831, -73.97654586698383)"
SIDEWALK CAFE,884882,Unenclosed,145,POMODORO RESTAURANT & PIZZERIA INC,,SPRING STREET,51 SPRING STREET,,10012,2129669229,"51 SPRING STREET
NEW YORK, NY 10012
(40.72204547467682, -73.99639331720888)"
SIDEWALK CAFE,885830,Unenclosed,390,KEM REST INC,DON GIOVANNI,10 AVENUE,214 10 AVENUE,,10011,2122429054,"214 10 AVENUE
MANHATTAN, NY 10011
(40.74777889260001, -74.0040672982759)"
SIDEWALK CAFE,885853,Enclosed,226,JAPONICA U S A INC,JAPONICA,UNIVERSITY PLACE,100 UNIVERSITY PLACE,,10003,2122437752,"100 UNIVERSITY PLACE
MANHATTAN, NY 10003
(40.73394555557729, -73.99278479393114)"
SIDEWALK CAFE,885879,Unenclosed,160,K.I.D. RESTAURANT CORP.,MANATUS RESTAURANT,BLEECKER STREET,340 BLEECKER STREET,,10014,2129897042,"340 BLEECKER STREET
NEW YORK, NY 10014
(40.733813587170914, -74.00447880921388)"
SIDEWALK CAFE,885881,Enclosed,212,83/AMSTERDAM RESTAURANT CORP,HI-LIFE RESTAURANT,AMSTERDAM AVENUE,477 AMSTERDAM AVENUE,,10024,2127877199,"477 AMSTERDAM AVENUE
NEW YORK, NY 10024
(40.78560554283831, -73.97654586698383)"
SIDEWALK CAFE,890521,Unenclosed,253,200 EAST 81ST RESTAURANT CORP.,,THIRD AVENUE,1431 THIRD AVENUE,A/K/A 200 EAST 81 STREET,10028,2126500850,"1431 THIRD AVENUE
NEW YORK, NY 10028
(40.77552652139294, -73.95633707584796)"
SIDEWALK CAFE,890546,Unenclosed,219,FLORIOS ENTERPRISES INC,,GRAND STREET,192 GRAND STREET,,10013,2122267610,"192 GRAND STREET
NEW YORK, NY 10013
(40.71923557707595, -73.99705040925187)"
SIDEWALK CAFE,890575,Unenclosed,351,WILD ROSE MANAGEMENT INC,,BROADWAY,2756 BROADWAY,,10025,2122224453,"2756 BROADWAY
MANHATTAN, NY 10025
(40.80119273394605, -73.96775464866774)"
SIDEWALK CAFE,890588,Unenclosed,218,DOJO RESTAURANT INC,DOJO WEST,WEST    4 STREET,14 WEST    4 STREET,,10012,2126742516,"14 4 STREET
NEW YORK, NY 10012
(40.728129871945725, -73.99366895842167)"
SIDEWALK CAFE,895505,Unenclosed,255,BARJER CORP,FIREHOUSE RESTAURANT,COLUMBUS AVENUE,522 COLUMBUS AVENUE,,10024,2127873473,"522 COLUMBUS AVENUE
NY, NY 10024
(40.78590150084545, -73.97263895589063)"
SIDEWALK CAFE,895577,Enclosed,86,ANGELO VIVOLO RESTAURANT ASSOC INC,VIVOLO,EAST   74 STREET,140 EAST   74 STREET,,10021,2123080220,"140 74 STREET
NEW YORK, NY 10021
(40.771827929349456, -73.96148222299303)"
SIDEWALK CAFE,895586,Enclosed,265,M B R P REST INC,THE STUMBLE INN,2 AVENUE,1454 2 AVENUE,,10021,2126500561,"1454 2 AVENUE
NEW YORK, NY 10021
(40.77129732935214, -73.95653595183188)"
SIDEWALK CAFE,895599,Unenclosed,260,151 SECOND AVE. REST. INC.,RYAN'S IRISH PUB,2 AVENUE,151 2 AVENUE,,10003,2127809866,"151 2 AVENUE
NEW YORK, NY 10003
(40.72948784821, -73.98699598896428)"
SIDEWALK CAFE,895613,Unenclosed,297,COASTAL AT LINCOLN INC,JOSEPHINA,BROADWAY,1900 BROADWAY,,10023,2127691212,"1900 BROADWAY
NEW YORK, NY 10023
(40.77135954602272, -73.98199663393459)"
SIDEWALK CAFE,895625,Enclosed,411,MAFRA RESTAURANT CORP,IL VIOLINO,COLUMBUS AVENUE,180 COLUMBUS AVENUE,,10023,2128732500,"180 COLUMBUS AVENUE
MANHATTAN, NY 10023
(40.77493958357081, -73.98058382289537)"
SIDEWALK CAFE,895637,Unenclosed,328,BURRITO JUNCTION INC.,,COLUMBUS AVENUE,241 COLUMBUS AVENUE,,10023,2125809494,"241 COLUMBUS AVENUE
MANHATTAN, NY 10023
(40.776745340637135, -73.97923345554365)"
SIDEWALK CAFE,895644,Unenclosed,231,FELLOW TRAVELERS LTD,THREE OF CUPS,1 AVENUE,83 1 AVENUE,,10003,2123880059,"83 1 AVENUE
NEW YORK, NY 10003
(40.725962505855136, -73.98654632794961)"
SIDEWALK CAFE,907202,Enclosed,,EMEL SOAN CORP,ATHENS CAFE,30 AVENUE,32-07 30 AVENUE,,11102,7186262164,"32 07 30 AVENUE
QUEENS, NY 11102
(40.77152402451418, -73.92643545073543)"
SIDEWALK CAFE,907203,Unenclosed,157,FRENCH ROAST INC,,WEST   11 STREET,78 WEST   11 STREET,A/K/A 456 6 AVENUE,10011,2125057570,"78 11 STREET
MANHATTAN, NY 10011
(40.735055727621386, -73.99756340730801)"
SIDEWALK CAFE,907217,Enclosed,381,KHYBER PASS CORP,BAMIYAN RESTAURANT,THIRD AVENUE,358 THIRD AVENUE,,10016,2124813232,"358 THIRD AVENUE
NEW YORK, NY 10016
(40.74085527866032, -73.98166300933053)"
SIDEWALK CAFE,907977,Unenclosed,252,MESTOLA CAFFE CORP.,VINO,2 AVENUE,1268 2 AVENUE,,10065,2127445370,"1268 2 AVENUE
NEW YORK, NY 10065
(40.76525388172523, -73.96088414689159)"
SIDEWALK CAFE,908218,Unenclosed,145,TRUMLIN REST.CORP.,DIVINO RISTORANTE,2 AVENUE,1556 2 AVENUE,,10028,2128611096,"1556 2 AVENUE
NEW YORK, NY 10028
(40.7744629428953, -73.95422469421658)"
SIDEWALK CAFE,916146,Enclosed,228,HUSSIEN ENVIRONMENT INC.,CLEOPATRAS NEEDLE.,BROADWAY,2483 BROADWAY,,10025,2127696969,"2483 BROADWAY
NEW YORK, NY 10025
(40.79233732416694, -73.97365560962625)"
SIDEWALK CAFE,916981,Enclosed,720,33-01 BROADWAY CORP.,TIERRAS COLOMBIANAS II,BROADWAY,33-01 BROADWAY,,11106,7189563012,"33 01
ASTORIA, NY 11106
(40.761699790013324, -73.9316632529567)"
SIDEWALK CAFE,917301,Unenclosed,160,BROADWAY 76 LTD,NIKO'S MEDITERREAN GRILL AND BISTRO,BROADWAY,2161 BROADWAY,,10024,2128737000,"2161 BROADWAY
NEW YORK, NY 10024
(40.78208919370377, -73.9810694567912)"
SIDEWALK CAFE,917302,Enclosed,308,BROADWAY 76 LTD,NIKO'S MEDITERREAN GRILL AND BISTRO,BROADWAY,2161 BROADWAY,,10024,2128737000,"2161 BROADWAY
NEW YORK, NY 10024
(40.78208919370377, -73.9810694567912)"
SIDEWALK CAFE,917885,Unenclosed,277,"BLEECKER TRATTORIA, INC.",,BLEECKER STREET,232 BLEECKER STREET,,10014,2122556752,"232 BLEECKER STREET
NEW YORK, NY 10014
(40.73029495867493, -74.00250393710154)"
SIDEWALK CAFE,918358,Unenclosed,297,RESTAURANT 597 INC.,BUS STOP,HUDSON STREET,597 HUDSON STREET,,10014,2122061100,"597 HUDSON STREET
NEW YORK, NY 10014
(40.73691624817201, -74.00591772446074)"
SIDEWALK CAFE,918521,Unenclosed,106,CABANA-70 ASSOCIATES L.P.,CABANA RESTAURANT AND BAR,70 ROAD,107-10 70 ROAD,,11375,2125131988,"107 10 70 ROAD
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)"
SIDEWALK CAFE,919619,Unenclosed,89,ZESTFUL MANAGEMENT CORP.,BAR 6,AVENUE OF THE AMERICAS,502 AVENUE OF THE AMERICAS,SIXTH AVENUE,10011,2126911363,"502 AVENUE
NEW YORK, NY 10011
(40.74471526669623, -74.00460000028977)"
SIDEWALK CAFE,919907,Unenclosed,210,"HEARTLAND BREWERY, INC",HEARTLAND BREWERY,UNION SQUARE WEST,35 UNION SQUARE WEST,,10003,2126453400,"35 UNION SQUARE
NEW YORK, NY 10003
(40.73681732274878, -73.99057529064089)"
SIDEWALK CAFE,919917,Unenclosed,206,"COWGIRL, INC",,HUDSON STREET,519 HUDSON STREET,,10014,2126331133,"519 HUDSON STREET
NEW YORK, NY 10014
(40.73390351937388, -74.0062504736116)"
SIDEWALK CAFE,920112,Unenclosed,186,"BARFLY, INC",BARFLY,THIRD AVENUE,244 THIRD AVENUE,,10010,2124739660,"244 THIRD AVENUE
NEW YORK, NY 10010
(40.73699248853083, -73.9845328103094)"
SIDEWALK CAFE,920314,Enclosed,159,LEKKAS RESTAURANT CORPORATION,,SEVENTH AVENUE,322 SEVENTH AVENUE,,10001,2122390760,"322 SEVENTH AVENUE
NEW YORK, NY 10001
(40.747384356593045, -73.9932732567288)"
SIDEWALK CAFE,920440,Unenclosed,125,JO-RACH INC,THE CAFFE PALERMO,MULBERRY STREET,148 MULBERRY STREET,,10013,2124314205,"148 MULBERRY STREET
NY, NY 10013
(40.71907699671988, -73.9973890804017)"
SIDEWALK CAFE,920629,Unenclosed,84,"172 BLEECKER STREET RESTAURANT,INC",CAFE ESPANOL,BLEECKER STREET,172 BLEECKER STREET,,10012,2125050657,"172 BLEECKER STREET
NEW YORK, NY 10012
(40.72882671182167, -74.00056287297751)"
SIDEWALK CAFE,920717,Unenclosed,371,THE ODEON INC,,WEST BROADWAY,145 WEST BROADWAY,,10013,2122330507,"145 BROADWAY
NEW YORK, NY 10013
(40.716999760104166, -74.00800910673831)"
SIDEWALK CAFE,920983,Unenclosed,275,"RESTAURANT VENTURES OF NY,INC.",,SPRING STREET,200 SPRING STREET,,10012,2124311212,"200 SPRING STREET
NYC, NY 10012
(40.725171102469346, -74.00324673803374)"
SIDEWALK CAFE,922650,Unenclosed,718,ZONOR REST CORP.,RIVIERA CAFE,WEST    4 STREET,225 WEST    4 STREET,,10014,2129293250,"225 4 STREET
NEW YORK, NY 10014
(40.73401546913192, -74.0028671367192)"
SIDEWALK CAFE,924263,Enclosed,439,STARBUCKS CORPORATION,STARBUCKS COFFEE CO. #818,2 AVENUE,1559 2 AVENUE,,10028,2063184048,"1559 2 AVENUE
NEW YORK, NY 10028
(40.77456186831853, -73.95415274845425)"
SIDEWALK CAFE,924582,Enclosed,,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY,LAFAYETTE STREET,454 LAFAYETTE STREET,STORE #825,10003,2063184048,"454 LAFAYETTE STREET
NEW YORK, NY 10003
(40.72996161666133, -73.99128876964679)"
SIDEWALK CAFE,924708,Unenclosed,68,BLL RESTAURANT CORP.,PORTO BELLO RESTAURANT,THOMPSON STREET,208 THOMPSON STREET,,10012,2124737794,"208 THOMPSON STREET
NEW YORK, NY 10012
(40.728831343128604, -73.99931670076569)"
SIDEWALK CAFE,924875,Enclosed,516,449 RESTAURANT INC.,MOONSTRUCK DINER,THIRD AVENUE,449 THIRD AVENUE,,10016,2122131100,"449 THIRD AVENUE
NEW YORK, NY 10016
(40.743742102374426, -73.97955859578195)"
SIDEWALK CAFE,928548,Enclosed,418,184 3RD AVENUE RESTAURANT CORP.,GRAMERCY CAFE,3 AVENUE,184 3 AVENUE,,10003,7185672990,"184 3 AVENUE
NEW YORK, NY 10003
(40.73510861089312, -73.98585384998705)"
SIDEWALK CAFE,928680,Unenclosed,228,"300 E. 5TH ST. REST., INC.",MARYANN'S D.F.,EAST    5 STREET,300 EAST    5 STREET,,10003,2124755939,"300 5 STREET
NEW YORK, NY 10003
(40.72674563891382, -73.98897444942646)"
SIDEWALK CAFE,929109,Unenclosed,280,"GILLI, INC.",GILLI REST,AMSTERDAM AVENUE,417 AMSTERDAM AVENUE,,10024,2123621180,"417 AMSTERDAM AVENUE
NEW YORK, NY 10024
(40.78373675087649, -73.97785383922432)"
SIDEWALK CAFE,930600,Unenclosed,180,LUMI CORPORATION,,LEXINGTON AVENUE,963 LEXINGTON AVENUE,,10021,9174285668,"963 LEXINGTON AVENUE
NEW YORK, NY 10021
(40.76920190902388, -73.96308301620519)"
SIDEWALK CAFE,931051,Unenclosed,163,"M.E.G.RESTAURANT ENTERPRISES,LTD.",NOVITA,EAST   22 STREET,102 EAST   22 STREET,,10010,2126772222,"102 22 STREET
NEW YORK, NY 10010
(40.73931743799022, -73.98637545676405)"
SIDEWALK CAFE,931822,Unenclosed,397,NOHO STAR INC.,THE NOHO STAR,LAFAYETTE STREET,330 LAFAYETTE STREET,,10012,2129250070,"330 LAFAYETTE STREET
NEW YORK, NY 10012
(40.725926175038914, -73.99468984356588)"
SIDEWALK CAFE,933853,Unenclosed,386,VESELKA ENTERPRISES LTD,,2 AVENUE,144 2 AVENUE,,10003,2122289682,"144 2 AVENUE
NEW YORK, NY 10003
(40.72908315329681, -73.98729276523397)"
SIDEWALK CAFE,935481,Unenclosed,180,MICHAEL KING INC.,,1 AVENUE,1361 1 AVENUE,GR.FL,10021,2127373664,"1361 1 AVENUE
NEW YORK, NY 10021
(40.76860835648455, -73.95542079251555)"
SIDEWALK CAFE,936261,Unenclosed,272,"SEVENTH AVENUE TOMATO,INC.",RESTIVO RISTORANTE,7 AVENUE,209 7 AVENUE,,10011,2123664133,"209 7 AVENUE
NEW YORK, NY 10011
(40.743544251527965, -73.99603417535877)"
SIDEWALK CAFE,940252,Unenclosed,264,"CARMINES BROADWAY FEAST,INC.",CARMINE'S,BROADWAY,2450 BROADWAY,,10024,2123622200,"2450 BROADWAY
NEW YORK, NY 10024
(40.79095650891264, -73.9743605144526)"
SIDEWALK CAFE,941701,Unenclosed,408,ANDIKIANA CORP.,SILVER SPURS EATERY,LA GUARDIA PLACE,490 LA GUARDIA PLACE,,10012,2122282333,"490 LA GUARDIA PLACE
NEW YORK, NY 10012
(40.727006949523016, -73.99989346228452)"
SIDEWALK CAFE,943587,Unenclosed,85,R&A EAST 16TH ASSOCIATES,CHAT 'N CHEW,EAST   16 STREET,10 EAST   16 STREET,,10003,2126611313,"10 16 STREET
NEW YORK, NY 10003
(40.737203218009554, -73.99245960604283)"
SIDEWALK CAFE,945762,Unenclosed,96,136 WEST BROADWAY INC.,EDWARD'S,WEST BROADWAY,136 WEST BROADWAY,,10013,2122336436,"136 BROADWAY
NEW YORK, NY 10013
(40.71687935335922, -74.00813904987314)"
SIDEWALK CAFE,949447,Unenclosed,113,164 MULBERRY ST. CORP,DA NICO RESTAURANT,MULBERRY STREET,164 MULBERRY STREET,,10013,2123431212,"164 MULBERRY STREET
NEW YORK, NY 10013
(40.71969423131094, -73.99715832789536)"
